大类,子类,文件路径,代码片段,硬编码内容,使用场景,潜在问题,优化建议,意见
一、Rust 后端 (src-tauri),1. 应用配置与窗口参数,`src-tauri/src/lib.rs` L11,"`const WINDOW_STATE_FILE: &str = ""app-data/window-state.json"";`","`""app-data/window-state.json""`",窗口状态持久化路径,路径变更需改多处,提取到配置文件或环境变量,
一、Rust 后端 (src-tauri),1. 应用配置与窗口参数,`src-tauri/src/lib.rs` L12-13,`const DEFAULT_WIDTH: f64 = 1200.0; const DEFAULT_HEIGHT: f64 = 800.0;`,"`1200.0, 800.0`",窗口默认尺寸,不同屏幕/平台可能需不同尺寸,从 tauri.conf.json 动态读取,
一、Rust 后端 (src-tauri),1. 应用配置与窗口参数,`src-tauri/src/lib.rs` L53,"`const WIDGET_STATE_FILE: &str = ""app-data/widget-state.json"";`","`""app-data/widget-state.json""`",Widget 状态持久化路径,与 WINDOW_STATE_FILE 路径模式硬编码一致,统一为常量或配置项,
一、Rust 后端 (src-tauri),1. 应用配置与窗口参数,`src-tauri/src/lib.rs` L226,"`.min_inner_size(200.0, 150.0)`","`200.0, 150.0`",Widget 窗口最小尺寸,不同用途的 Widget 可能需要不同最小尺寸,参数化传入,
一、Rust 后端 (src-tauri),1. 应用配置与窗口参数,`src-tauri/src/lib.rs` L143,"`.add_filter(""MIDI Files"", &[""mid"", ""midi""]).add_filter(""All Files"", &[""*""])`","`""MIDI Files"", ""mid"", ""midi"", ""All Files"", ""*""`",文件对话框过滤器,字符串未国际化；扩展名不灵活,提取为常量数组，通过 i18n 处理显示名,
一、Rust 后端 (src-tauri),1. 应用配置与窗口参数,`src-tauri/src/lib.rs` L156,"`.set_file_name(""untitled.mid"")`","`""untitled.mid""`",保存文件对话框默认文件名,未国际化,提取为 i18n key,
一、Rust 后端 (src-tauri),1. 应用配置与窗口参数,`src-tauri/src/lib.rs` L189-190,"`if !url.starts_with(""http://"") && !url.starts_with(""https://"")`","`""http://"", ""https://""`",URL 安全验证,仅允许两种协议，ftp 等被排斥,提取为 ALLOWED_PROTOCOLS 常量列表,
一、Rust 后端 (src-tauri),1. 应用配置与窗口参数,`src-tauri/src/lib.rs` L170,"`""access denied: path outside app data directory""`",错误消息字符串,文件路径安全验证,未国际化；错误提示对用户不友好,通过 i18n 返回本地化错误,
一、Rust 后端 (src-tauri),1. 应用配置与窗口参数,`src-tauri/src/lib.rs` L265,"`k.starts_with(""widget-"")`","`""widget-""`",Widget 窗口标识前缀,前缀变更需改多处,提取为常量,
一、Rust 后端 (src-tauri),1. 应用配置与窗口参数,`src-tauri/src/lib.rs` L436,"`app_handle.emit(""app:on-ready"", ())`","`""app:on-ready""`",应用就绪事件名,事件名字符串散布多处,提取为统一事件名常量模块,
